complaint_text,category,priority
the local authority has not fixed the blocked drain in our lane for three days. it is please inspect.,Sanitation,Normal
residents are affected by unsafe crossing near the bus stand for several weeks. it is kindly resolve.,Roads & Transport,Normal
residents are affected by damaged railing near my house for a week. it is please inspect.,Public Safety,Normal
children are at risk. residents are affected by electric pole outside the school for two hours.,Electricity,Urgent
i want to report overflowing dustbin at the crossing. the problem started several weeks ago. it is immediate help needed.,Sanitation,Urgent
i want to report bus delay outside the school. the problem started several weeks ago. it is please inspect.,Roads & Transport,Normal
please check. i want to report fire hazard in our lane. the problem started one day ago.,Public Safety,Normal
the local authority has not fixed the router outage at the crossing for several weeks. it is kindly resolve.,Internet & Telecom,Normal
residents are affected by damaged cable near the bus stand for a week. it is children are at risk.,Internet & Telecom,Urgent
the local authority has not fixed the sewage mixed water outside the school for one day. it is causing inconvenience.,Water Supply,Normal
residents are affected by meter fault in our lane for several weeks. it is please inspect.,Electricity,Normal
severe. please resolve the dark street outside the school; it has continued for several weeks.,Public Safety,Urgent
causing inconvenience. please resolve the unclean public toilet at the main market; it has continued for three days.,Sanitation,Normal
causing inconvenience. please resolve the dirty water at the crossing; it has continued for three days.,Water Supply,Normal
accident may happen. please resolve the low water pressure at the main market; it has continued for a week.,Water Supply,Urgent
accident may happen. please resolve the missed waste collection near my house; it has continued for a week.,Sanitation,Urgent
the local authority has not fixed the exposed cable in sector 12 for several weeks. it is please inspect.,Public Safety,Normal
i want to report pothole in sector 12. the problem started two hours ago. it is accident may happen.,Roads & Transport,Urgent
residents are affected by open manhole in sector 12 for two hours. it is needs attention.,Public Safety,Normal
there is dirty water at the main market since a week. it is children are at risk.,Water Supply,Urgent
i want to report fallen tree in sector 12. the problem started three days ago. it is please check.,Public Safety,Normal
there is frequent disconnection at the main market since two hours. it is please inspect.,Internet & Telecom,Normal
needs attention. please resolve the frequent disconnection near my house; it has continued for three days.,Internet & Telecom,Normal
the local authority has not fixed the stray animal near my house for a week. it is requesting repair.,Public Safety,Normal
residents are affected by low water pressure at the crossing for several weeks. it is kindly resolve.,Water Supply,Normal
the local authority has not fixed the low voltage beside the park for several weeks. it is children are at risk.,Electricity,Urgent
i want to report electric pole beside the park. the problem started several weeks ago. it is please inspect.,Electricity,Normal
the local authority has not fixed the missed waste collection near my house for several weeks. it is please inspect.,Sanitation,Normal
i want to report missed waste collection near the bus stand. the problem started three days ago. it is immediate help needed.,Sanitation,Urgent
emergency. please resolve the poor coverage in sector 12; it has continued for three days.,Internet & Telecom,Urgent
causing inconvenience. please resolve the bus delay at the crossing; it has continued for a week.,Roads & Transport,Normal
requesting repair. there is frequent disconnection in sector 12 since one day.,Internet & Telecom,Normal
residents are affected by traffic signal outside the school for three days. it is immediate help needed.,Roads & Transport,Urgent
there is missing road sign outside the school since three days. it is please inspect.,Roads & Transport,Normal
the local authority has not fixed the waterlogged road beside the park for several weeks. it is please check.,Roads & Transport,Normal
please resolve the exposed cable at the crossing; it has continued for three days. it is children are at risk.,Public Safety,Urgent
the local authority has not fixed the water wastage in our lane for a week. it is please inspect.,Water Supply,Normal
i want to report blocked drain in our lane. the problem started several weeks ago. it is needs attention.,Sanitation,Normal
residents are affected by mobile network in sector 12 for a week. it is causing inconvenience.,Internet & Telecom,Normal
please resolve the low voltage at the crossing; it has continued for two hours. it is severe.,Electricity,Urgent
kindly resolve. there is pipeline leak near the bus stand since two hours.,Water Supply,Normal
dangerous. there is stray animal in sector 12 since one day.,Public Safety,Urgent
i want to report water wastage beside the park. the problem started a week ago. it is immediate help needed.,Water Supply,Urgent
people may get hurt. please resolve the fallen tree at the crossing; it has continued for two hours.,Public Safety,Urgent
the local authority has not fixed the bus delay at the main market for several weeks. it is children are at risk.,Roads & Transport,Urgent
kindly resolve. i want to report broken road in our lane. the problem started two hours ago.,Roads & Transport,Normal
requesting repair. i want to report open dumping at the crossing. the problem started several weeks ago.,Sanitation,Normal
needs attention. i want to report frequent disconnection near the bus stand. the problem started three days ago.,Internet & Telecom,Normal
dangerous. the local authority has not fixed the unclean public toilet near the bus stand for two hours.,Sanitation,Urgent
immediate help needed. the local authority has not fixed the blocked drain at the main market for one day.,Sanitation,Urgent
kindly resolve. there is pothole in sector 12 since several weeks.,Roads & Transport,Normal
please inspect. residents are affected by garbage pile in sector 12 for several weeks.,Sanitation,Normal
there is low water pressure at the main market since three days. it is requesting repair.,Water Supply,Normal
residents are affected by garbage pile at the main market for one day. it is please check.,Sanitation,Normal
please check. please resolve the overflowing dustbin at the main market; it has continued for two hours.,Sanitation,Normal
please resolve the open dumping in sector 12; it has continued for three days. it is dangerous.,Sanitation,Urgent
there is bus delay in our lane since one day. it is dangerous.,Roads & Transport,Urgent
residents are affected by low voltage at the main market for three days. it is please inspect.,Electricity,Normal
i want to report unsafe crossing near my house. the problem started three days ago. it is people may get hurt.,Roads & Transport,Urgent
i want to report broken water pipe beside the park. the problem started several weeks ago. it is please inspect.,Water Supply,Normal
please resolve the fire hazard outside the school; it has continued for two hours. it is dangerous.,Public Safety,Urgent
residents are affected by no water near the bus stand for several weeks. it is accident may happen.,Water Supply,Urgent
kindly resolve. residents are affected by electricity outage near the bus stand for one day.,Electricity,Normal
dangerous. please resolve the pipeline leak near the bus stand; it has continued for one day.,Water Supply,Urgent
there is no signal in sector 12 since one day. it is please check.,Internet & Telecom,Normal
i want to report broken road in sector 12. the problem started one day ago. it is needs attention.,Roads & Transport,Normal
the local authority has not fixed the bus delay outside the school for a week. it is requesting repair.,Roads & Transport,Normal
residents are affected by sparking wire near the bus stand for one day. it is requesting repair.,Electricity,Normal
the local authority has not fixed the internet down at the main market for several weeks. it is needs attention.,Internet & Telecom,Normal
causing inconvenience. there is electric pole in sector 12 since several weeks.,Electricity,Normal
the local authority has not fixed the sparking wire near my house for several weeks. it is dangerous.,Electricity,Urgent
residents are affected by mosquito breeding beside the park for a week. it is emergency.,Sanitation,Urgent
severe. there is stray animal beside the park since two hours.,Public Safety,Urgent
residents are affected by slow broadband in sector 12 for three days. it is accident may happen.,Internet & Telecom,Urgent
severe. there is broken water pipe at the main market since two hours.,Water Supply,Urgent
children are at risk. there is waterlogged road in sector 12 since one day.,Roads & Transport,Urgent
please check. i want to report mosquito breeding at the crossing. the problem started a week ago.,Sanitation,Normal
there is street light outside the school since one day. it is immediate help needed.,Electricity,Urgent
there is unclean public toilet near my house since one day. it is severe.,Sanitation,Urgent
residents are affected by exposed cable near my house for one day. it is severe.,Public Safety,Urgent
residents are affected by unsafe construction in sector 12 for one day. it is emergency.,Public Safety,Urgent
please resolve the sewage mixed water in our lane; it has continued for two hours. it is dangerous.,Water Supply,Urgent
dangerous. please resolve the street light near my house; it has continued for three days.,Electricity,Urgent
there is garbage pile outside the school since three days. it is immediate help needed.,Sanitation,Urgent
please resolve the meter fault in our lane; it has continued for one day. it is please check.,Electricity,Normal
there is unsafe construction at the main market since several weeks. it is requesting repair.,Public Safety,Normal
there is street light beside the park since one day. it is people may get hurt.,Electricity,Urgent
requesting repair. please resolve the slow broadband at the crossing; it has continued for three days.,Internet & Telecom,Normal
residents are affected by electric pole near the bus stand for two hours. it is causing inconvenience.,Electricity,Normal
please resolve the pothole in sector 12; it has continued for three days. it is please inspect.,Roads & Transport,Normal
the local authority has not fixed the fallen tree near my house for three days. it is causing inconvenience.,Public Safety,Normal
there is water wastage in our lane since three days. it is please check.,Water Supply,Normal
please resolve the overflowing dustbin in our lane; it has continued for a week. it is needs attention.,Sanitation,Normal
the local authority has not fixed the frequent disconnection at the main market for one day. it is requesting repair.,Internet & Telecom,Normal
residents are affected by broken water pipe in sector 12 for a week. it is causing inconvenience.,Water Supply,Normal
please inspect. residents are affected by unsafe construction near my house for several weeks.,Public Safety,Normal
the local authority has not fixed the low water pressure beside the park for a week. it is needs attention.,Water Supply,Normal
causing inconvenience. i want to report overflowing dustbin beside the park. the problem started two hours ago.,Sanitation,Normal
there is stray animal in our lane since several weeks. it is please check.,Public Safety,Normal
i want to report open dumping at the crossing. the problem started several weeks ago. it is requesting repair.,Sanitation,Normal
requesting repair. there is transformer noise in our lane since a week.,Electricity,Normal
the local authority has not fixed the no signal at the main market for several weeks. it is kindly resolve.,Internet & Telecom,Normal
there is bad smell in our lane since a week. it is kindly resolve.,Sanitation,Normal
the local authority has not fixed the sparking wire near the bus stand for two hours. it is severe.,Electricity,Urgent
i want to report exposed cable beside the park. the problem started several weeks ago. it is needs attention.,Public Safety,Normal
emergency. there is fallen tree at the main market since three days.,Public Safety,Urgent
severe. the local authority has not fixed the frequent disconnection near my house for two hours.,Internet & Telecom,Urgent
i want to report fire hazard in sector 12. the problem started three days ago. it is needs attention.,Public Safety,Normal
there is damaged railing in sector 12 since three days. it is kindly resolve.,Public Safety,Normal
i want to report overflowing dustbin at the crossing. the problem started a week ago. it is needs attention.,Sanitation,Normal
i want to report damaged cable near the bus stand. the problem started two hours ago. it is needs attention.,Internet & Telecom,Normal
the local authority has not fixed the router outage in sector 12 for one day. it is requesting repair.,Internet & Telecom,Normal
